sentence_id,word,pos_tag,chunk_tag,ne_label,nested_ne_label
vn-01,Bà,N,B-NP,O,O
vn-01,Mai,Np,I-NP,B-PER,O
vn-01,là,V,B-VP,O,O
vn-01,giáo_viên,N,B-NP,O,O
vn-01,tại,E,B-PP,O,O
vn-01,trường,N,B-NP,B-ORG,O
vn-01,THPT,Np,I-NP,I-ORG,O
vn-01,A,Np,I-NP,I-ORG,O
vn-01,.,CH,O,O,O

vn-02,Đại_học,N,B-NP,B-ORG,O
vn-02,Harvard,Np,I-NP,I-ORG,O
vn-02,là,V,B-VP,O,O
vn-02,trường,N,B-NP,O,O
vn-02,đại_học,N,I-NP,O,O
vn-02,hàng_đầu,A,I-AP,O,O
vn-02,của,E,B-PP,O,O
vn-02,Mỹ,N,B-NP,O,O
vn-02,.,CH,O,O,O

vn-03,Bé,N,B-NP,O,O
vn-03,tên,N,B-NP,O,O
vn-03,Hồng,Np,I-NP,B-PER,O
vn-03,đang,R,B-VP,O,O
vn-03,chơi,V,B-VP,O,O
vn-03,đùa,V,B-VP,O,O
vn-03,ở,E,B-PP,O,O
vn-03,công_viên,N,B-NP,B-LOC,O
vn-03,.,CH,O,O,O

vn-04,Cậu,N,B-NP,O,O
vn-04,bé,N,I-NP,O,O
vn-04,tên,N,B-NP,O,O
vn-04,Hồng,Np,I-NP,B-PER,O
vn-04,đang,R,B-VP,O,O
vn-04,chơi,V,B-VP,O,O
vn-04,đùa,V,B-VP,O,O
vn-04,ở,E,B-PP,O,O
vn-04,công_viên,N,B-NP,B-LOC,O
vn-04,.,CH,O,O,O

vn-05,Ông,N,B-NP,O,O
vn-05,Smith,Np,I-NP,B-PER,O
vn-05,đến,V,B-VP,O,O
vn-05,từ,E,B-PP,O,O
vn-05,nước,N,B-NP,O,O
vn-05,Anh,Np,I-NP,B-LOC,O
vn-05,.,CH,O,O,O

vn-06,Bà,N,B-NP,O,O
vn-06,Maria,Np,I-NP,B-PER,O
vn-06,Fernandez,Np,I-NP,I-PER,O
vn-06,là,V,B-VP,O,O
vn-06,giáo_viên,N,B-NP,O,O
vn-06,tại,E,B-PP,O,O
vn-06,trường,N,B-NP,B-ORG,O
vn-06,quốc_tế,A,I-AP,I-ORG,O
vn-06,.,CH,O,O,O

vn-07,Chúng_tôi,PN,B-NP,O,O
