index,word,pos_tag,chunk_tag,ne_label,nested_ne_label
0,Bà,N,B-NP,O,O
1,Mai,Np,I-NP,B-PER,O
2,là,V,B-VP,O,O
3,giáo_viên,N,B-NP,O,O
4,tại,E,B-PP,O,O
5,trường,N,B-NP,B-ORG,O
6,THPT,Np,I-NP,I-ORG,O
7,A,Np,I-NP,I-ORG,O
8,.,CH,O,O,O
9,Đại_học,N,B-NP,B-ORG,O
10,Harvard,Np,I-NP,I-ORG,O
11,là,V,B-VP,O,O
12,trường,N,B-NP,O,O
13,đại_học,N,I-NP,O,O
14,hàng_đầu,A,I-AP,O,O
15,của,E,B-PP,O,O
16,Mỹ,N,B-NP,O,O
17,.,CH,O,O,O
18,Bé,N,B-NP,O,O
19,tên,N,B-NP,O,O
20,Hồng,Np,I-NP,B-PER,O
21,đang,R,B-VP,O,O
22,chơi,V,B-VP,O,O
23,đùa,V,B-VP,O,O
24,ở,E,B-PP,O,O
25,công_viên,N,B-NP,B-LOC,O
26,.,CH,O,O,O
27,Cậu,N,B-NP,O,O
28,bé,N,I-NP,O,O
29,tên,N,B-NP,O,O
30,Hồng,Np,I-NP,B-PER,O
31,đang,R,B-VP,O,O
32,chơi,V,B-VP,O,O
33,đùa,V,B-VP,O,O
34,ở,E,B-PP,O,O
35,công_viên,N,B-NP,B-LOC,O
36,.,CH,O,O,O
37,Ông,N,B-NP,O,O
38,Smith,Np,I-NP,B-PER,O
39,đến,V,B-VP,O,O
40,từ,E,B-PP,O,O
41,nước,N,B-NP,O,O
42,Anh,Np,I-NP,B-LOC,O
43,.,CH,O,O,O
44,Bà,N,B-NP,O,O
45,Maria,Np,I-NP,B-PER,O
46,Fernandez,Np,I-NP,I-PER,O
47,là,V,B-VP,O,O
48,giáo_viên,N,B-NP,O,O
49,tại,E,B-PP,O,O
50,trường,N,B-NP,B-ORG,O
51,quốc_tế,A,I-AP,I-ORG,O
52,.,CH,O,O,O
53,Chúng_tôi,PN,B-NP,O,O
54,đã,R,B-VP,O,O
55,mời,V,B-VP,O,O
56,bà,N,B-NP,O,O
57,Trang,Np,I-NP,B-PER,O
58,đến,V,B-VP,O,O
59,dự,V,B-VP,O,O
60,hội_thảo,N,B-NP,O,O
61,.,CH,O,O,O
62,Ông,N,B-NP,O,O
63,Kimura,Np,I-NP,B-PER,O
64,là,V,B-VP,O,O
65,CEO,N,B-NP,O,O
66,của,E,B-PP,O,O
67,công_ty,N,B-NP,B-ORG,O
68,Toyota,Np,I-NP,I-ORG,O
69,.,CH,O,O,O
70,Chiếc,N,B-NP,O,O
71,xe,N,I-NP,O,O
72,của,E,B-PP,O,O
73,anh,N,B-NP,O,O
74,Tuấn,Np,I-NP,B-PER,O
75,bị,V,B-VP,O,O
76,hỏng,V,I-VP,O,O
77,khi,C,B-CC,O,O
78,đi,V,B-VP,O,O
79,đến,E,B-PP,O,O
80,trung_tâm,N,B-NP,B-LOC,O
81,thành_phố,N,I-NP,I-LOC,O
82,.,CH,O,O,O
83,Bộ,N,B-NP,O,O
84,trưởng,N,I-NP,O,O
85,Nguyễn,Np,B-NP,B-PER,O
86,Xuân,Np,I-NP,I-PER,O
87,Phúc,Np,I-NP,I-PER,O
88,đã,R,B-VP,O,O
89,thông_báo,V,B-VP,O,O
90,về,E,B-PP,O,O
91,kế_hoạch,N,B-NP,O,O
92,phòng_chống,V,B-VP,O,O
93,dịch_bệnh,N,I-NP,O,O
94,.,CH,O,O,O
95,Tôi,P,N,B-NP,O
96,rất,R,B-ADVP,O,O
97,muốn,V,B-VP,O,O
98,đi,V,B-VP,O,O
99,du_lịch,V,I-VP,O,O
100,ở,E,B-PP,O,O
101,nước,N,B-NP,B-LOC,O
102,Pháp,Np,I-NP,I-LOC,O
103,và,C,B-CC,O,O
104,thăm,V,B-VP,O,O
105,Tháp_Eiffel,Np,B-NP,B-LOC,O
106,.,CH,O,O,O
107,Hai,CD,B-NP,O,O
108,đứa,N,B-NP,O,O
109,trẻ,N,I-NP,O,O
110,nhỏ,A,B-AP,O,O
111,đang,R,B-VP,O,O
112,chơi,V,B-VP,O,O
113,bóng_đá,N,B-NP,O,O
114,trên,E,B-PP,O,O
115,sân,N,B-NP,B-LOC,O
116,trường_học,N,I-NP,I-LOC,O
117,của,E,B-PP,O,O
118,họ,PN,B-NP,O,O
119,.,CH,O,O,O
120,Tôi,P,N,B-NP,O
121,cảm_thấy,V,B-VP,O,O
122,vui,A,B-AP,O,O
123,khi,C,B-CC,O,O
124,nhìn,V,B-VP,O,O
125,thấy,V,B-VP,O,O
126,cảnh,N,B-NP,O,O
127,biển,N,I-NP,O,O
128,đẹp,A,B-AP,O,O
